id	left	target	right
gekleurd/adj/nrc_handelsblad_20020209_212/6	Koude en warme limonade en	gekleurde	bekers : in Het Konijn in Alphen aan den Rijn
gekleurd/adj/nrc_handelsblad_19991104_6/812	koudere winters - leent zich goed voor tuinieren met vrolijk	gekleurde	eenjarige planten die in het zomerseizoen enorme afmetingen bereiken en
gekleurd/adj/nrc_handelsblad_20001007_168/903	de kansen als , op de beschreven manier , een	gekleurde	vloeistof behoedzaam in een ongekleurde vloeistof wordt geblazen of gedruppeld
gekleurd/adj/nrc_handelsblad_20040528_82/109	Christophe Auger en Xavier Quérel half verbrand , uitgerekt en	gekleurd	celluloid doorheen jagen . Maar wie goed kijkt ziet op
gekleurd/adj/nrc_handelsblad_19990115_92/1207	donker was , want op die school zaten maar weinig	gekleurde	leerlingen . ' Tijdens de uitvoering moest zijn moeder huilen
gekleurd/adj/nrc_handelsblad_20031017_152/107	de volledige waarheid moeten opbiechten over een wellicht enigszins erotisch	gekleurde	relatie die zij vijftien jaar geleden onderhield , zich afspelend
gekleurd/adj/nrc_handelsblad_20020608_72/363	( Hugh Hudson , 1981 , Engeland ) . Chauvinistisch	gekleurde	reconstructie van de Olympische Spelen in Parijs ( 1924 )
gekleurd/adj/nrc_handelsblad_20010426_136/675	Queen bestaat momenteel alleen als prototype , maar kleinere en	gekleurde	modellen kunnen op bestelling worden vervaardigd . *Electric Queen :
gekleurd/adj/nrc_handelsblad_20001202_119/828	. Vervolgens ben ik gaan werken met gekleurd papier en	gekleurde	"inkt . 	 Gisteren ben ik in het Rijksmuseum naar"
gekleurd/adj/nrc_handelsblad_20040315_40/263	jongen hoort niks . Hij heeft net vier boterhammen met	gekleurde	muisjes en hagelslag bestrooid en is ze nu op elkaar
gekleurd/adj/nrc_handelsblad_20020128_62/779	nog zaken gedaan kunnen worden . De behoefte aan historisch	gekleurde	heroïek valt ook niet geheel uit te vlakken . Meer
gekleurd/adj/nrc_handelsblad_20001012_79/382	luxueuze , in zilver uitgevoerde computermuis . Na de hippe	gekleurde	Apple-computers het nieuwste fashion item voor in de werkkamer .
gekleurd/adj/nrc_handelsblad_20030606_167/421	. Michelluzzi werkt volgens een klassieke Italiaanse techniek waarbij staafjes	gekleurd	glas op een heldere glasplaat versmolten worden tot een prachtig
gekleurd/adj/nrc_handelsblad_19991117_93/47	je niet wist waar het om gaat . Een vrolijk	gekleurde	schutting met wat spandoeken erop in een achterafstraatje in Ústí
gekleurd/adj/nrc_handelsblad_20020212_64/55	". 	 De monarchvlinder is een grote , opvallend oranje-zwart"	gekleurde	trekvlinder die jaarlijks grote afstanden vliegt . Een deel van
gekleurd/adj/nrc_handelsblad_20011115_0/224	dilemma's waren er natuurlijk wel : moest het wit of	gekleurd	? Strak of losjes ? Het korset is waarschijnlijk het
