	id	left	target	right	file
0	stof/noun/nrc_handelsblad_20010208_53/506	Bacon gebruikte niet alleen grote kwasten , maar van alles : stukken gaas , lappen	stof	, sponzen , de rand van een vuilnisemmer-deksel of de dop van een verftube .	nrc_handelsblad_20010208_53
1	stof/noun/nrc_handelsblad_20020615_120/57	"gebruik van doping niet aangetoond . 	 Bij het analyseren van de bloedmonsters zijn geen"	stoffen	"gevonden die wijzen op doping . 	 Armstrong hekelde vorige week het feit dat de"	nrc_handelsblad_20020615_120
2	stof/noun/nrc_handelsblad_19990408_139/174	Gemeentemuseum . Vionnet werd vooral bekend door haar moulage-techniek , het schuindraads verwerken van de	stof	en ze ontwierp haar dromerige en ingenieuze japponnen niet op papier , maar direct op	nrc_handelsblad_19990408_139
3	stof/noun/nrc_handelsblad_20011019_145/963	dat pakte me . Ieder onderwerp is geschikt voor een musical zolang de aanpak maar	stof	tot drama oplevert . Destijds werd er over West Side Story gezegd : wie wil	nrc_handelsblad_20011019_145
4	stof/noun/nrc_handelsblad_19990713_83/334	industrie veel verdient aan synthetische middelen , doch slechts beperkt winst kan maken op natuurlijke	stoffen	. Dat komt door de licenties en rechten . Zonder dezen zou een farmaceutische industrie	nrc_handelsblad_19990713_83
5	stof/noun/nrc_handelsblad_20031122_191/81	het hoofdvlak van het melkwegstelsel staat . In dit vlak bevinden zich relatief dichte wolken	stof	die het zichtbare licht van sterren tegenhouden . Infrarood licht kan echter wel door het	nrc_handelsblad_20031122_191
6	stof/noun/nrc_handelsblad_20000818_103/957	als begeleider van Brentjens , al heeft de officiële accreditatie van de Amerikaan wel wat	stof	"doen opwaaien . Brentjens , grinnikend : 	 Peter moet eerst lid worden van de"	nrc_handelsblad_20000818_103
7	stof/noun/nrc_handelsblad_20020831_157/106	in het Leidse universitaire Lorentz Center praten ze anderhalve week over zand , korrels en	stof	, ofwel ` granulaire materialen ' . Hoe simpel de losse korrels van deze stoffen	nrc_handelsblad_20020831_157
8	stof/noun/nrc_handelsblad_20010526_16/221	` sequel ' . Met deze goed verzorgde compilatie blaast het reissue-label Kent opnieuw zinvol	stof	af van een vergeten stuk soulhistorie	nrc_handelsblad_20010526_16
9	stof/noun/nrc_handelsblad_20040602_22/115	blijven over zware risico's die bijvoorbeeld werknemers in de industrie lopen bij werken met gevaarlijke	stoffen	". Rutte vindt dat de 	 regelzucht 	 van de overheid op het gebied van"	nrc_handelsblad_20040602_22
10	stof/noun/nrc_handelsblad_20010104_4/296	ruimte van 15 bij 4 meter met ruwe muren en een betonnen vloer , waar	stof	van jaren nog altijd tot in de verste hoeken en kieren zit . Maar het	nrc_handelsblad_20010104_4
11	stof/noun/nrc_handelsblad_20010609_29/332	"denkt wel dat het zal werken . 	 Er zijn in de veevoederindustrie ook chemische"	stoffen	bekend die hetzelfde effect beogen . Ik vraag me echter wel af in hoeverre micro-organismen	nrc_handelsblad_20010609_29
12	stof/noun/nrc_handelsblad_20020513_0/107	bij staat . Zijn rug gekromd , zijn schouders hangend naar voren . De rode	stof	steekt fel af tegen zijn verweerde bronzen lijf . Als ik goed naar Wibaut kijk	nrc_handelsblad_20020513_0
13	stof/noun/nrc_handelsblad_20000614_95/126	zijn weer teruggekomen . Zie maar hoe we veranderd zijn , lijkt elk buitenissig stuk	stof	te schreeuwen . Nuffig staan de dames tegenover de zo alom tegenwoordige natuur vijandig te	nrc_handelsblad_20000614_95
14	stof/noun/nrc_handelsblad_20020128_105/426	zijden , flanellen en andere doekjes , aan stalen en rubberen borsteltjes ; aan geheimzinnige	stoffen	", lijnolie en loodazijn , indigo en schellak , aluin en wolvet . 	 Het"	nrc_handelsblad_20020128_105
15	stof/noun/nrc_handelsblad_20001016_46/432	duidelijk te maken waar zijn inspiratie vandaan komt , heeft hij zelfs nog een lapje	stof	als voorbeeld op het doek geplakt . Als het aantal inzendingen voor de Koninklijke Subsidie	nrc_handelsblad_20001016_46
16	stof/noun/nrc_handelsblad_20000429_148/117	eindexamen maar voor de helft meetelt , hebben leraren soms de neiging voordien met de	stof	of de beoordeling ervan soepel te zijn , zodat de leerlingen wat speling overhouden .	nrc_handelsblad_20000429_148
17	stof/noun/nrc_handelsblad_20000705_37/143	positief . In haar urine werden sporen van het verboden middel nandrolon gevonden , dezelfde	stof	die op 26 juni 1999 tijdens de Nederlandse kampioenschappen in Apeldoorn in de urine van	nrc_handelsblad_20000705_37
18	stof/noun/nrc_handelsblad_20010915_19/237	uit het normale programma van de middelbare school . Omdat ze zo soepeltjes door de	stof	glijden , hebben ze 's middags alle tijd voor schoolreisjes naar bedrijf of museum .	nrc_handelsblad_20010915_19
19	stof/noun/nrc_handelsblad_20040207_34/108	doet de aanbeveling jonge kinderen met een aanleg voor allergieën niet aan voor hen prikkelende	stoffen	bloot te stellen ( ` De risico's van gezond vuil ' , W&O , 17	nrc_handelsblad_20040207_34
20	stof/noun/nrc_handelsblad_20011117_66/346	instituut kan een onlangs op de markt gebrachte doe-het-zelf-xtc-test geen uitsluitsel bieden over de werkzame	stoffen	in de pillen . Reijnders noemt xtc een wereldwijd probleem . Nederland neemt op de	nrc_handelsblad_20011117_66
21	stof/noun/nrc_handelsblad_20000224_157/1208	Hij draagt een zijden kraaghemd dat tot onderaan zijn borstbeen openstaat . Onder de dunne	stof	ziet men zijn tepels . Zijn nauwsluitende kuitbroek , die maar net over zijn knieën	nrc_handelsblad_20000224_157
22	stof/noun/nrc_handelsblad_20010105_140/1195	zijn streng gekadreerd . Lang is nagedacht over details als de kleur en de soort	stof	van de kleding . Zo is in de film Place ( 1996 ) het theeservies	nrc_handelsblad_20010105_140
23	stof/noun/nrc_handelsblad_19990724_7/614	dient hierbij uit te gaan naar het aquatische milieu , omdat hierin de meeste verdachte	stoffen	terecht komen . Ook moet het terugdringingsbeleid van verdachte stoffen , zoals TBT , worden	nrc_handelsblad_19990724_7
24	stof/noun/nrc_handelsblad_20040325_98/116	de handel te nemen , toen bleek dat het water was vervuild met een kankerverwekkende	stof	. De naam Dasani , een succes op de Amerikaanse markt , suggereert volgens Coca-Cola	nrc_handelsblad_20040325_98
25	stof/noun/nrc_handelsblad_20010806_33/206	, aldus de Schotse kloonexpert Ian Wilmut . Antinori's praktijken hebben al eerder het nodige	stof	doen oplaaien . In 1994 riep hij grote internationale verontwaardiging over zich af , toen	nrc_handelsblad_20010806_33
