id	model.x	model.y	lemma	pos	genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf	broadGenre
church/NN/br-a01/2073	-0.325149073674844	-0.182148323975135	church	NN	press_reportage	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	NN	informative	1	0	0.95	0	9	church	others
church/NN/br-a07/1303	0.0433365864335517	-0.0962278766316479	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	NN	informative	3	1	1.72	0.33	7	church	others
church/NN/br-a07/1325	0.0611361665255747	-0.0629424654360845	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	NN	informative	4	3	1.24	0.75	8	church	others
church/NN/br-a07/1487	-0.0207204665497274	0.148784515063999	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	NN	informative	4	1	1.65	0.25	7	church	others
church/NN/br-a10/1754	0.0243385089830259	-0.105960363460683	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	NN	informative	1	1	1.33	1	6	church	others
church/NN/br-a10/1769	-0.0284938128906784	-0.0388340386932209	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	NN	informative	3	3	1.49	1	8	church	others
church/NN/br-a10/1850	0.0871544116854693	0.00815726504624744	church	NN	press_reportage	C	C	C	CDE	Z	Z	Z	Z	Z	 adding that the denomination had a national goal of one <font color=green>church</font>  for every 10000 persons.`` In this light we need 1000	NN	informative	3	2	0.52	0.67	6	church	others
church/NN/br-a10/1940	0.00239579257034667	-0.103862006459057	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	NN	informative	1	0	1.22	0	8	church	others
church/NN/br-a16/453	-0.251430717543405	0.011003750948986	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	NN	informative	4	2	1.55	0.5	6	church	others
church/NN/br-a17/1636	-0.270573970442989	0.0402409836155655	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	NNP	informative	4	3	1.51	0.75	6	Church	others
church/NN/br-a17/1770	-0.307660695065435	0.090006617170315	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	NNP	informative	2	0	2.12	0	4	Church	others
church/NN/br-a17/2228	-0.144762133619236	-0.0273659976351504	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	NN	informative	5	4	2.38	0.8	8	church	others
church/NN/br-a17/2233	-0.145802824040981	-0.0423880079778721	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 A reception was held at the church. The First Christian <font color=green>Church</font>  of Pampa was the setting for the wedding last Sunday	NNP	informative	4	2	2.22	0.5	7	Church	others
church/NN/br-a21/677	-0.323277697476109	-0.0192585722123117	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 for 10 a. m. tomorrow in St. Anne 's Catholic <font color=green>Church</font> , 31978 Mound, in Warren. The mother and daughter, who will	NNP	informative	4	1	2.59	0.25	4	Church	others
church/NN/br-a22/1206	-0.30182273207865	0.0627556815825511	church	NN	press_reportage	B	B	AB	AB	Z	Z	Z	Z	Z	 World War 1,. He was a member of the Baptist <font color=green>church</font> . Survivors include two brothers, C. E. Killingsworth, Atlanta, and John	NN	informative	2	1	1.75	0.5	4	church	others
church/NN/br-a22/1283	-0.182431413648599	0.13247799785221	church	NN	press_reportage	C	C	C	CDE	Z	Z	Z	Z	Z	 painter. He was a member of the Oakland City Methodist <font color=green>Church</font>  and a native of Atlanta. Funeral services will be at	NNP	informative	2	1	1.68	0.5	7	Church	others
church/NN/br-a22/307	-0.153729640662449	-0.0504155025572732	church	NN	press_reportage	B	B	AB	AB	Z	Z	Z	Z	Z	 challenged by the state. Emory is affiliated with the Methodist <font color=green>Church</font> . Some church leaders, both clerical and lay, have criticized the	NNP	informative	4	1	2.96	0.25	2	Church	others
church/NN/br-a22/310	-0.127936795694241	-0.0499572897121198	church	NN	press_reportage	A	A	AB	AB	Z	Z	Z	Z	Z	 the state. Emory is affiliated with the Methodist Church. Some <font color=green>church</font>  leaders, both clerical and lay, have criticized the university for	NN	informative	5	1	2.89	0.2	3	church	others
church/NN/br-a31/1395	-0.10658269785393	-0.0305108058563225	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 from 4 to 8 p. m. Sunday at First Presbyterian <font color=green>Church</font> . At that time the second half of the Christian Youth	NNP	informative	5	1	1.02	0.2	8	Church	others
church/NN/br-a31/1542	-0.0736482976357372	-0.109957814386334	church	NN	press_reportage	C	C	C	CDE	Z	Z	Z	Z	Z	 he and his wife serve as advisors at First Presbyterian <font color=green>Church</font> . And he wanted to be careful that the kids not	NNP	informative	3	0	0.69	0	6	Church	others
church/NN/br-a31/1842	-0.252152754332536	0.00493389926100144	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 planned for 10: 50 a. m. Sunday at First Christian <font color=green>Church</font> . It will be the second time the assistant manager of	NNP	informative	3	1	1.53	0.33	6	Church	others
church/NN/br-a31/2087	-0.21502964189782	0.0175676505345766	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 Family'' at 7: 30 p. m. Sunday at Christ Lutheran <font color=green>Church</font> . Mr. and Mrs. George Treadwell will be honored at a	NNP	informative	3	0	1.36	0	6	Church	others
church/NN/br-a31/2112	-0.185497481357558	0.00216866690300917	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 and program at 6 p. m. Sunday at Trinity Methodist <font color=green>Church</font> . He is the sexton of the church. A family worship	NNP	informative	3	0	1.76	0	4	Church	others
church/NN/br-a31/2120	-0.0373743717901132	-0.0104609214107977	church	NN	press_reportage	D	D	DE	CDE	Z	Z	Z	Z	Z	 at Trinity Methodist Church. He is the sexton of the <font color=green>church</font> . A family worship service will follow the program at 7	NN	informative	4	2	1.74	0.5	7	church	others
church/NN/br-a31/2172	-0.0407009925908841	-0.0157052344907652	church	NN	press_reportage	C	C	C	CDE	Z	Z	Z	Z	Z	 service marking National Family Week. Every family of Riviera Presbyterian <font color=green>Church</font>  has been asked to read the Bible and pray together	NNP	informative	6	6	1.07	1	12	Church	others
church/NN/br-a31/2212	-0.0676670396657524	0.0296216533618877	church	NN	press_reportage	C	C	C	CDE	Z	Z	Z	Z	Z	 participate. To start the week of special programs at the <font color=green>church</font> , the Rev. John D. Henderson will preach on`` A Successful	NN	informative	4	2	1.23	0.5	7	church	others
church/NN/br-a31/2241	-0.109887180250149	0.319017035702612	church	NN	press_reportage	C	C	C	CDE	Z	Z	Z	Z	Z	 40 and 11 a. m. Sunday. New officers of the <font color=green>church</font>  will be ordained and installed at the 7: 30 p.	NN	informative	4	2	1.08	0.5	3	church	others
church/NN/br-a31/2280	-0.125648364487113	0.0679886268949167	church	NN	press_reportage	C	C	C	CDE	Z	Z	Z	Z	Z	 held at 6: 15 p. m. Monday and the annual <font color=green>church</font>  picnic at 4 p. m. next Saturday. The week will	NN	informative	3	3	2.14	1	7	church	others
church/NN/br-b08/1866	-0.0334226901327861	-0.0213820342163696	church	NN	press_editorial	D	D	DE	CDE	Z	Z	Z	Z	Z	 wrote after almost a decade of service to this majestic <font color=green>church</font> .`` Such a church needs vigor and vitality in its rector	NN	informative	2	0	2.03	0	7	church	others
church/NN/br-b08/1871	-0.0773994774289479	-0.0335797595301141	church	NN	press_editorial	C	C	C	CDE	Z	Z	Z	Z	Z	 a decade of service to this majestic church.`` Such a <font color=green>church</font>  needs vigor and vitality in its rector and one man	NN	informative	4	2	2.46	0.5	4	church	others
