id	left	target	right
hachelijk/adj/nrc_handelsblad_20000722_106/878	winst maakt het inschatten van de koersen van nu een	hachelijke	zaak . De winst stijgt als de koersen stijgen ,
hachelijk/adj/nrc_handelsblad_20010419_177/33	het niet . HET OVERDRAGEN van een familiebedrijf is een	hachelijke	onderneming . Een directeur geeft niet zomaar zijn levenswerk uit
hachelijk/adj/nrc_handelsblad_19991011_3/159	die in crimineel vaarwater te geraken en wordt hun voortbestaan	hachelijker	, terwijl voor die coffeeshops een taak is weggelegd cannabisgebruikers
hachelijk/adj/nrc_handelsblad_20000707_46/271	hadden . Navertelling maakt al duidelijk dat het om een	hachelijk	onderwerp gaat , met die krachten die over leven en
hachelijk/adj/nrc_handelsblad_20030519_111/238	verandert in een shi'itische theocratie ? Natuurlijk is het een	hachelijke	aangelegenheid om Irak te hervormen . Maar er zijn gunstige
hachelijk/adj/nrc_handelsblad_20020316_22/359	was . Hoewel niemand zich op dit moment in zo'n	hachelijke	situatie bevindt , is het niet ondenkbaar dat er deze
hachelijk/adj/nrc_handelsblad_20040426_15/207	voldoen , opdat zij zelfstandiger en beter onderlegd aan het	hachelijke	emigratie-avontuur begint . Dergelijke huwelijken kosten vaak veel geld in
hachelijk/adj/nrc_handelsblad_19991001_83/107	over Marsman als literaire figuur - duidelijk dat zoiets een	hachelijke	onderneming is , aangezien het niet mogelijk is simpelweg biografische
hachelijk/adj/nrc_handelsblad_20010827_75/590	een concertzaal en een televisieregistratie van een versterkt openluchtconcert is	hachelijk	, maar duidelijk werd desondanks hoe verschillend de Vijfde kan
hachelijk/adj/nrc_handelsblad_20031128_270/46	halen . Volgens hem was het bestuur verantwoordelijk voor de	hachelijke	positie van Laurus . De VEB houdt wél rekening met
hachelijk/adj/nrc_handelsblad_20011011_2/467	piloot . Hij heeft hen immers bekwaam begeleid in deze	hachelijke	onderneming . Daarna feliciteren ze elkaar dat ze veilig zijn
hachelijk/adj/nrc_handelsblad_20040605_167/371	gaat naar C.J. Nonhof , die in het park een	hachelijk	"avontuur beleefde bij het voeren van de eendjes : 	"
hachelijk/adj/nrc_handelsblad_20020726_151/807	waardoor het aanbieden van overal in Europa beschikbare diensten een	hachelijke	zaak wordt . En het succes van de huidige GSM-standaard
hachelijk/adj/nrc_handelsblad_20040309_114/380	worden - ineens een interessante absurditeit . Hoewel het een	hachelijke	onderneming is , riskeren jaarlijks circa dertigduizend Marokkanen de overtocht
hachelijk/adj/nrc_handelsblad_20030410_29/258	"de hoop uit 	 dat de regering zich van deze"	hachelijke	"situatie bewust is 	 . Let wel : dit was"
hachelijk/adj/nrc_handelsblad_20011122_14/227	vestigen , en andere Amerikanen die dat een overhaaste ,	hachelijke	onderneming vinden , die boven hun macht gaat . De
hachelijk/adj/nrc_handelsblad_20040420_130/1		Hachelijk	nieuws om te brengen , want de Beckhams bezitten fortuinen
hachelijk/adj/nrc_handelsblad_20000623_92/113	woord betekent . Maar hij belandt natuurlijk wel voortdurend in	hachelijke	situaties , in kooien en laboratoria , bij een prinses
hachelijk/adj/nrc_handelsblad_20010530_114/431	van het strand was meegenomen , begon hij aan een	hachelijke	tocht over de gletsjers die vijf dagen zou duren .
hachelijk/adj/nrc_handelsblad_20000129_21/530	proberen te beïnvloeden van de beurskoersen met de rente een	hachelijke	onderneming . De hefboomwerking van het rente-instrument is mogelijk veel
hachelijk/adj/nrc_handelsblad_20021011_37/342	dat de ` oorlogsresolutie ' van het Congres tot deze	hachelijke	situatie leidt . Bush kent de regels en heeft ,
hachelijk/adj/nrc_handelsblad_20011222_125/7	Minister zijn in Nederland is een	hachelijke	zaak . Neem Netelenbos . Eens lid van het bestuur
hachelijk/adj/nrc_handelsblad_20010112_17/502	bewoners aan de hand van hun spullen is een uiterst	hachelijke	zaak ; bepaalde spullen kunnen bijvoorbeeld geërfd zijn . De
hachelijk/adj/nrc_handelsblad_20020522_19/219	de tarieven zijn gestegen . Dat was mogelijk door de	hachelijke	situatie waarin de concurrentie verkeerde . Maar het is twijfelachtig
hachelijk/adj/nrc_handelsblad_20011119_91/527	Ajax lukraak werd weggeschoten . Daarna deden zich nog enkele	hachelijke	momenten voor bij het doel van Grim en mocht het
hachelijk/adj/nrc_handelsblad_19990112_29/1201	van de eilanden met tal van onderzeese kliffen , een	hachelijke	zaak is . North Rona is een driehoekig eilandje van
hachelijk/adj/nrc_handelsblad_20010922_154/2284	strijd van jaren met een zo heterogene coalitie is een	hachelijke	onderneming . Het uitgangspunt van Kaplan wat vandaag goed is
hachelijk/adj/nrc_handelsblad_20030531_106/218	mee naar beneden . Dat maakt de situatie vandaag zo	hachelijk	. De Japanse centrale bank doet er alles aan om
hachelijk/adj/nrc_handelsblad_19990120_12/261	toespraak , die ruim vijf kwartier duurde , verried de	hachelijke	politieke positie waarin de president verkeert . Hij kondigde een
hachelijk/adj/nrc_handelsblad_20040416_171/456	is de situatie voor wie zelf zijn dubbelganger ontmoet nog	hachelijker	
hachelijk/adj/nrc_handelsblad_20000313_36/165	van klassieke zangers naar de lichte muziek blijken vaak een	hachelijke	onderneming , maar Norman plooit haar vocale kwaliteiten hier schijnbaar
hachelijk/adj/nrc_handelsblad_20020204_108/181	de liefde . Liefde is bij De Graef altijd een	hachelijke	onderneming . Voor je het weet slaat de verveling toe
hachelijk/adj/nrc_handelsblad_20020525_15/1917	Zeeuws-Vlaamse kant . Voorspellingen over de globale goederenstromen zijn een	hachelijk	zaak , de macht van de reders wordt steeds groter
hachelijk/adj/nrc_handelsblad_20010327_60/349	geen literair gebruik maken van hun afkomst is dat een	hachelijke	en wie weet pijnlijke opgave . De flitscultuur trekt bovendien
hachelijk/adj/nrc_handelsblad_20011022_35/393	in PvdA-kring wordt echter beseft dat het hier een enigszins	hachelijk	perspectief betreft . Het is nog maar de vraag of
hachelijk/adj/nrc_handelsblad_19991018_136/232	asielzoekers . Dat maakt de beoogde afstemming van asielprocedures een	hachelijke	onderneming . Gelukkig hebben de regeringsleiders in Tampere vastgehouden aan
hachelijk/adj/nrc_handelsblad_20021002_22/101	Het grootste volksfeest boven de grote rivieren herinnert aan de	hachelijkste	periode uit de geschiedenis van Leiden . Het verhaal van
hachelijk/adj/nrc_handelsblad_20020712_84/14	op vakantie naar Turkije is voor veel Nederlandse Turken een	hachelijke	onderneming . Onderweg lopen ze het risico te worden afgeperst
hachelijk/adj/nrc_handelsblad_20010307_18/536	deed voor onder meer effectief toezicht door commissarissen . Hoe	hachelijk	werden de verhoudingen na de koersval van Newconomy ? De
hachelijk/adj/volkskrant_20010426_170/246	als het gaat om auto's en computers , maar een	hachelijk	avontuur als het gaat om levende organismen . Terecht geeft
hachelijk/adj/volkskrant_19991112_152/436	weer met de Insulinde op zee . ' Na een	hachelijke	proeftocht met de reddingboot in het Friesche Gat , waar
hachelijk/adj/volkskrant_19990908_106/1115	alle gevaren van dien . De enige oplossing voor deze	hachelijke	situatie is dat er in Rusland eerlijke en democratische leiders
hachelijk/adj/volkskrant_20011105_43/160	een partijtje antiek op te halen . Het wordt een	hachelijk	avontuur . 747 AM , 16.02 uur
hachelijk/adj/volkskrant_20040505_42/327	één bron , en elke journalist weet dat dat een	hachelijke	zaak is . ' Jacques Wallage , burgemeester van Groningen
hachelijk/adj/volkskrant_20040608_66/302	is tot op de draad versleten . Het traject met	hachelijke	in-en uitritten , onduidelijke routepanelen en bochtige tunnels wordt nu
hachelijk/adj/volkskrant_20000120_151/571	marktwereld , losgelaten op zijn kunstpraktijk , maakten zijn positie	hachelijk	. Nu verhuist Hugo Bongers van het Stedelijk naar Rotterdam
hachelijk/adj/volkskrant_20000129_110/1203	forceert . Na de tekstzet daarentegen raakt Bergsma in een	hachelijk	, vermoedelijk verloren dammeneindspel verzeild . 52.19-14 33x11 53.14-9 11-7
hachelijk/adj/volkskrant_20011208_166/51	ideeën niet altijd weerklank vonden . ' Jumping is een	hachelijke	onderneming . Het is elke keer weer schaatsen op dun
hachelijk/adj/volkskrant_19991224_168/476	. Jankovskaja daarentegen maakte in haar eerste ontmoeting met Teterina	hachelijke	momenten door , en ook het veelbewogen slotduel waaraan ik
hachelijk/adj/volkskrant_20031022_27/11	Een ' nieuw type ' terrorist bedreigt de toch al	hachelijke	veiligheidssituatie in Afghanistan . Dat zegt de commandant van de
hachelijk/adj/volkskrant_20010131_19/378	helaas bevindt Frankrijk zich op dit ogenblik zich in de	hachelijke	situatie , dat ze geen duidelijke positie kan betrekken ,
hachelijk/adj/volkskrant_19991216_157/79	het museum ' , zei een conservator toen . Be-hoor-lijk	hachelijk	, zou je zo zeggen . Fout . Wat wél
hachelijk/adj/volkskrant_19991216_157/237	zoek . Dan had hij ook allerlei andere ' zogenaamd	hachelijke	' momenten moeten opnemen . ' De arrestatie van Hanneman
hachelijk/adj/volkskrant_20020511_77/693	De nieuwe leider , Ad Melkert , stond voor de	hachelijke	opdracht zich te profileren met een nieuwe missie - modernisering
hachelijk/adj/volkskrant_20001103_28/387	een pastoraal boek . Maar de auteur vindt het wat	hachelijk	om die pretentie over te nemen . Kuitert : '
hachelijk/adj/volkskrant_20020315_109/56	te moffelen . De positie van het bedrijf is uiterst	hachelijk	geworden nadat het ministerie van Justitie donderdag een aanklacht tegen
