	id	left	target	right	file
0	heilzaam/adj/nrc_handelsblad_20011116_30/526	er steekt veel waars in het aloude adagium dat men een recessie , die ook	heilzaam	kan zijn , gewoon moet uitzitten . Het belangrijkste is dat de economische teruggang als	nrc_handelsblad_20011116_30
1	heilzaam/adj/nrc_handelsblad_19991030_63/139	"Greenspan bracht . De bankpresident stelde dat de technologische vernieuwingen hebben geleid tot 	 een"	heilzame	"cyclus 	 , waarin sterke groei van de productiviteit samengaat met lage inflatie . De"	nrc_handelsblad_19991030_63
2	heilzaam/adj/nrc_handelsblad_20000701_38/815	misschien nog niet eens zo schadelijk zijn , kan men horen . Zij zou ook	heilzaam	kunnen werken voor de ND die pretendeert een partij van het midden te zijn	nrc_handelsblad_20000701_38
3	heilzaam/adj/nrc_handelsblad_20010426_61/365	op de verdachte lijst staan . De grootste en nog onbeantwoorde vraag is of de	heilzame	effecten van zonnebrandmiddelen ( bescherming tegen zonnebrand en op termijn tegen huidkanker ) opwegen tegen	nrc_handelsblad_20010426_61
4	heilzaam/adj/nrc_handelsblad_20010123_5/442	waarheidscriterium is natuurlijk niet de verzonnen en in mythen geprojecteerde schijn , maar de onmoetbare	heilzame	werkelijkheid zelf . Als de bijbel tot zinvol waarheidscriterium wordt verheven , is ze dat	nrc_handelsblad_20010123_5
5	heilzaam/adj/nrc_handelsblad_20031013_102/34	"onderbewustzijn andere boodschappen te geven . 	 Op Lafeber hebben die positieve boodschappen duidelijk een"	heilzame	werking . Het geloof in eigen kunnen is zo sterk toegenomen dat hij na zijn	nrc_handelsblad_20031013_102
6	heilzaam/adj/nrc_handelsblad_20001216_24/370	de groei-afname die de Amerikanen zelf vrezen . En dat bleek donderdag en gisteren zeer	heilzaam	voor de euro , die voor het eerst sinds eind augustus de 0,90 dollar raakte	nrc_handelsblad_20001216_24
7	heilzaam/adj/nrc_handelsblad_19991006_128/718	begin is uitgeroepen . Maar intussen wordt van bijvoorbeeld onze gedoogpolitiek en de coffeeshops -	heilzaam	of niet - in het buitenland niets begrepen . Dat er intussen een stille reactie	nrc_handelsblad_19991006_128
8	heilzaam/adj/nrc_handelsblad_20000505_64/21	Onder intellectuele Eidgenossen geldt Loetschers kosmopolitische instelling , uiting van zijn ongeëvenaarde reislust , als	heilzaam	, als een gezonde correctie op de beperkte blik van de doorsnee-Zwitser . Over het	nrc_handelsblad_20000505_64
9	heilzaam/adj/nrc_handelsblad_20001111_39/165	een dodelijke samenzwering van multinationals . Volgens de gestaalde propagandisten is ze de onvermijdelijke én	heilzame	eenwording van mondiale sociaal-economische structuren . Volgens de zachte critici is ze een tijger die	nrc_handelsblad_20001111_39
10	heilzaam/adj/nrc_handelsblad_20001223_40/938	annex onhandelbare verschoppling ( Matt Damon ) . Therapie van begripvolle Robin Williams heeft alom	heilzaam	effect . Ook met Ben Affleck . Ned.2 , 20.47-22.50u. Arachnophobia ( Frank Marshall ,	nrc_handelsblad_20001223_40
11	heilzaam/adj/nrc_handelsblad_20031128_09/247	van Stipriaan , die een kloek nawoord en een notenapparaat heeft verzorgd , koppelt die	heilzame	functie aan medische traktaten uit Boccaccio's tijd , waarin aangename activiteiten als zang , dans	nrc_handelsblad_20031128_09
12	heilzaam/adj/nrc_handelsblad_20001117_7/599	opstellen van een Deltaplan . Bijna alle partijen geloofden die eerste tien jaar in de	heilzame	werking van ` tucht en ascese ' , in het vruchtbare mengsel van centraal `	nrc_handelsblad_20001117_7
13	heilzaam/adj/nrc_handelsblad_20000502_91/92	niet een enkele formule is om leed uit te wassen . Het geloof in de	heilzame	werking van thuis zitten is typisch Nederlands maar sommigen zien hun werk juist als welkome	nrc_handelsblad_20000502_91
14	heilzaam/adj/nrc_handelsblad_20020611_133/535	"te maken . 	 Ook topman Elisja Yanay van Motorola Israel is overtuigd van de"	heilzame	"werking van economische processen op het bedorven politieke klimaat in het Midden-Oosten . 	 Economie"	nrc_handelsblad_20020611_133
15	heilzaam/adj/nrc_handelsblad_19990408_166/70	Die plotselinge belichting van andere , ` gewone ' voorwerpen is vaak een magisch en	heilzaam	"effect van museumbezoek . Na de ontdekking : 	 Zo'n zandlopertje hebben we thuis ook"	nrc_handelsblad_19990408_166
16	heilzaam/adj/nrc_handelsblad_20001216_56/870	In de catalogus valt te lezen dat het dromen van dit soort standjes als een	heilzaam	voorteken werd beschouwd	nrc_handelsblad_20001216_56
17	heilzaam/adj/nrc_handelsblad_20020314_139/392	werknemers in de kinderopvang de afgelopen vier jaar is verdubbeld . Onder Paars heeft een	heilzame	verschuiving plaatsgevonden waarbij het aandeel van de collectieve sector in de economie is teruggedrongen tot	nrc_handelsblad_20020314_139
18	heilzaam/adj/nrc_handelsblad_19990703_152/82	' vele huwelijken heeft gered , kan een celibataire periode ook voor de paarse partners	heilzaam	werken . Voor het kabinet laat de vakantie overigens nog even op zich wachten .	nrc_handelsblad_19990703_152
19	heilzaam/adj/nrc_handelsblad_20020107_133/693	de ziekelijke verderfelijkheid . Kijk resoluut naar een gezonde toekomst en laat het schimmenrijk zijn	heilzame	werk doen	nrc_handelsblad_20020107_133
20	heilzaam/adj/nrc_handelsblad_20020406_197/175	"ook modieus zoals hij willen uitzien , 	 zegt Sandra . Andere dassenverkopers bevestigen de"	heilzame	invloed van de modieus geklede LPF-leider op de omzet . Bij Miscia , aan 's	nrc_handelsblad_20020406_197
21	heilzaam/adj/nrc_handelsblad_19991002_81/1382	bij gehoord , zelfs op de Burcht niet ' ) : waar veel sprekers de	heilzame	werking van het kosmopolitisme zullen bezingen , zal hij zijn vraagtekens zetten bij het hele	nrc_handelsblad_19991002_81
22	heilzaam/adj/nrc_handelsblad_20020517_22/468	U gaat uw gang maar , wij zullen ons het moderne jargon van prikkels ,	heilzame	concurrentie en benchmarking met gezwinde spoed eigen maken . Tijdens het tweede paarse kabinet kwam	nrc_handelsblad_20020517_22
23	heilzaam/adj/nrc_handelsblad_20021011_2088/10	Het hogere slot van Wall Street had vanochtend een	heilzame	werking op de beurzen in Europa	nrc_handelsblad_20021011_2088
