	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
geldig/adj/nrc_handelsblad_20010813_83/325/L0	geldig/adj/nrc_handelsblad_20010813_83/325	L0	een	det	een/det	een	True	L	1	0.34686255	11075723.0	3057.0
geldig/adj/nrc_handelsblad_20010813_83/325/L1	geldig/adj/nrc_handelsblad_20010813_83/325	L1	voor	prep	voor/prep	voor	True	L	2	0.44379357	3806927.0	1152.0
geldig/adj/nrc_handelsblad_20010813_83/325/L2	geldig/adj/nrc_handelsblad_20010813_83/325	L2	dat	comp	dat/comp	dat	True	L	3			
geldig/adj/nrc_handelsblad_20010813_83/325/L3	geldig/adj/nrc_handelsblad_20010813_83/325	L3	,	punct	,/punct	,	True	L	4			
geldig/adj/nrc_handelsblad_20010813_83/325/L4	geldig/adj/nrc_handelsblad_20010813_83/325	L4	schrijf_voor	verb	schrijf_voor/verb	voorschrijft	True	L	5	1.5094326	7921.0	7.0
geldig/adj/nrc_handelsblad_20010813_83/325/L5	geldig/adj/nrc_handelsblad_20010813_83/325	L5	)	punct	)/punct	)	True	L	6			
geldig/adj/nrc_handelsblad_20010813_83/325/L6	geldig/adj/nrc_handelsblad_20010813_83/325	L6	IAAF	name	IAAF/name	IAAF	True	L	7			
geldig/adj/nrc_handelsblad_20010813_83/325/L7	geldig/adj/nrc_handelsblad_20010813_83/325	L7	(	punct	(/punct	(	True	L	8			
geldig/adj/nrc_handelsblad_20010813_83/325/L8	geldig/adj/nrc_handelsblad_20010813_83/325	L8	Federaties	name	Federaties/name	Federaties	True	L	9			
geldig/adj/nrc_handelsblad_20010813_83/325/L9	geldig/adj/nrc_handelsblad_20010813_83/325	L9	Atletiek	name	Atletiek/name	Atletiek	True	L	10			
geldig/adj/nrc_handelsblad_20010813_83/325/L10	geldig/adj/nrc_handelsblad_20010813_83/325	L10	van	name	van/name	van	True	L	11			
geldig/adj/nrc_handelsblad_20010813_83/325/L11	geldig/adj/nrc_handelsblad_20010813_83/325	L11	Associatie	name	Associatie/name	Associatie	True	L	12			
geldig/adj/nrc_handelsblad_20010813_83/325/L12	geldig/adj/nrc_handelsblad_20010813_83/325	L12	internationaal	adj	internationaal/adj	Internationale	True	L	13	0.30992916	105805.0	28.0
geldig/adj/nrc_handelsblad_20010813_83/325/L13	geldig/adj/nrc_handelsblad_20010813_83/325	L13	de	det	de/det	de	True	L	14	-0.039381522999999995	28074105.0	5256.0
geldig/adj/nrc_handelsblad_20010813_83/325/L14	geldig/adj/nrc_handelsblad_20010813_83/325	L14	van	prep	van/prep	van	True	L	15	-0.17398508	12638933.0	2069.0
geldig/adj/nrc_handelsblad_20010813_83/325/L15												
geldig/adj/nrc_handelsblad_20010813_83/325/R0	geldig/adj/nrc_handelsblad_20010813_83/325	R0	EPO_test	noun	EPO_test/noun	EPO-test	True	R	1			
geldig/adj/nrc_handelsblad_20010813_83/325/R1	geldig/adj/nrc_handelsblad_20010813_83/325	R1	bloed	noun	bloed/noun	bloed	True	R	2	0.4729563	22430.0	7.0
geldig/adj/nrc_handelsblad_20010813_83/325/R2	geldig/adj/nrc_handelsblad_20010813_83/325	R2	moet	verb	moet/verb	moet	True	R	3	0.2688942	1557442.0	397.0
geldig/adj/nrc_handelsblad_20010813_83/325/R3	geldig/adj/nrc_handelsblad_20010813_83/325	R3	word	verb	word/verb	worden	True	R	4	0.35079232	3486710.0	965.0
geldig/adj/nrc_handelsblad_20010813_83/325/R4	geldig/adj/nrc_handelsblad_20010813_83/325	R4	neem_af	verb	neem_af/verb	afgenomen	True	R	5	-0.12210986	23252.0	4.0
geldig/adj/nrc_handelsblad_20010813_83/325/R5	geldig/adj/nrc_handelsblad_20010813_83/325	R5	.	punct	./punct	.	True	R	6			
geldig/adj/nrc_handelsblad_20010813_83/325/R6	geldig/adj/nrc_handelsblad_20010813_83/325	R6	sentence_delimiter	none	none	</sentence>	none	R	7			
geldig/adj/nrc_handelsblad_20010813_83/325/R7	geldig/adj/nrc_handelsblad_20010813_83/325	R7	sentence_delimiter	none	none	<sentence>	none	R	8			
geldig/adj/nrc_handelsblad_20010813_83/325/R8	geldig/adj/nrc_handelsblad_20010813_83/325	R8	om	comp	om/comp	Om	False	R	9			
geldig/adj/nrc_handelsblad_20010813_83/325/R9	geldig/adj/nrc_handelsblad_20010813_83/325	R9	de	det	de/det	de	False	R	10	-0.039381522999999995	28074105.0	5256.0
geldig/adj/nrc_handelsblad_20010813_83/325/R10	geldig/adj/nrc_handelsblad_20010813_83/325	R10	confrontatie	noun	confrontatie/noun	confrontatie	False	R	11			
geldig/adj/nrc_handelsblad_20010813_83/325/R11	geldig/adj/nrc_handelsblad_20010813_83/325	R11	met	prep	met/prep	met	False	R	12	-0.16552584	4230163.0	699.0
geldig/adj/nrc_handelsblad_20010813_83/325/R12	geldig/adj/nrc_handelsblad_20010813_83/325	R12	het	det	het/det	het	False	R	13	-0.09453022	11650779.0	2065.0
geldig/adj/nrc_handelsblad_20010813_83/325/R13	geldig/adj/nrc_handelsblad_20010813_83/325	R13	joel	adj	joel/adj	joelende	False	R	14			
geldig/adj/nrc_handelsblad_20010813_83/325/R14	geldig/adj/nrc_handelsblad_20010813_83/325	R14	publiek	noun	publiek/noun	publiek	False	R	15			
geldig/adj/nrc_handelsblad_20010813_83/325/R15												
geldig/adj/nrc_handelsblad_20011011_37/525/L0	geldig/adj/nrc_handelsblad_20011011_37/525	L0	steeds	adv	steeds/adv	steeds	True	L	1	0.18454951	252048.0	59.0
geldig/adj/nrc_handelsblad_20011011_37/525/L1	geldig/adj/nrc_handelsblad_20011011_37/525	L1	nog	adv	nog/adv	nog	True	L	2	0.32970515	1683041.0	456.0
geldig/adj/nrc_handelsblad_20011011_37/525/L2	geldig/adj/nrc_handelsblad_20011011_37/525	L2	vers	noun	vers/noun	verzen	True	L	3	1.3103456	2775.0	2.0
geldig/adj/nrc_handelsblad_20011011_37/525/L3	geldig/adj/nrc_handelsblad_20011011_37/525	L3	aantal	noun	aantal/noun	aantal	True	L	4	0.5068852	235279.0	76.0
geldig/adj/nrc_handelsblad_20011011_37/525/L4	geldig/adj/nrc_handelsblad_20011011_37/525	L4	totaal	adj	totaal/adj	totale	True	L	5	-0.226188	51346.0	8.0
geldig/adj/nrc_handelsblad_20011011_37/525/L5	geldig/adj/nrc_handelsblad_20011011_37/525	L5	het	det	het/det	het	True	L	6	-0.09453022	11650779.0	2065.0
