id	left	target	right	file
goedkoop/adj/nrc_handelsblad_19991014_35/12	Het Productschap voor Vee en Vlees gaat boeren helpen om mest	goedkoop	op het eigen bedrijf te verwerken . Het schap stelt 3 miljoen gulden beschikbaar voor	nrc_handelsblad_19991014_35
goedkoop/adj/nrc_handelsblad_20000805_127/242	voor genetisch gemodificeerd voedsel zijn de eigen belangen prominent aanwezig . Door genetische modificatie zal	goedkoper	kunnen worden geproduceerd . Zo kan het percentage uitval bij de oogst van een gewas	nrc_handelsblad_20000805_127
goedkoop/adj/nrc_handelsblad_20040221_196/106	heeft even tijd gekost om ze uit te leggen waarom onze technologie goed en uiteindelijk	goedkoper	is , maar toen ze dat eenmaal inzagen , gingen ze ook massaal om .	nrc_handelsblad_20040221_196
goedkoop/adj/nrc_handelsblad_20030522_86/268	omdat huismerkartikelen onvoldoende aanwezig waren , ontstond de indruk dat de Konmar helemaal niet zo	goedkoop	was als de keten wel beweerde . De rigoureuze ombouwoperatie werd stilgelegd , bestuurders werden	nrc_handelsblad_20030522_86
goedkoop/adj/nrc_handelsblad_20000325_120/348	inkoopt van derden en dus altijd concurrentie zal houden met andere partijen die dat even	goedkoop	ook kunnen doen . Maar goed , neem aan dat World Online en Newconomy van	nrc_handelsblad_20000325_120
goedkoop/adj/nrc_handelsblad_20020302_35/459	nog vol ook . De Fietsznfabriek heeft één nadeel : het eten , overigens vrij	goedkoop	, is er niet erg goed . Maar gelukkig zijn er nog andere redenen om	nrc_handelsblad_20020302_35
goedkoop/adj/nrc_handelsblad_20001107_29/74	voorkomen dat jonge Afrikaanse en Latijns- en Zuid-Amerikaanse spelers naar Europa worden gelokt en als	goedkope	"arbeidskrachten aan de clubs worden aangeboden . 	 Ze moeten niet als koopwaar , maar"	nrc_handelsblad_20001107_29
goedkoop/adj/nrc_handelsblad_20040109_143/135	er geen al te groot budget was . De eerste reeks is opgenomen in het	goedkopere	Canada , daardoor zijn straatbeelden uit San Francisco schaars . Soms is een raam heel	nrc_handelsblad_20040109_143
goedkoop/adj/nrc_handelsblad_20020904_35/60	van notarissen die zijn betrokken bij omstreden vastgoeddeals , en de opkomst van wifi ,	goedkoop	en draadloos internetten . Ned.3 , 22.30-23.15u. Barend & Van Dorp . Te gast zijn	nrc_handelsblad_20020904_35
goedkoop/adj/nrc_handelsblad_20020516_44/72	omdat dwars door alle lagen van de bevolking het besef is gegroeid dat Pim geen	goedkope	populist was , maar een wetenschapper die haarscherp waarnam wat er schortte aan de publieke	nrc_handelsblad_20020516_44
goedkoop/adj/nrc_handelsblad_20031011_24/443	de beursmakelaar welke prijs zij kunnen bieden , waarbij ieder van hen hoopt als de	goedkoopste	uit de bus te komen . Als zakenbanken verplicht zouden worden hun prijzen van te	nrc_handelsblad_20031011_24
goedkoop/adj/nrc_handelsblad_20011110_84/734	twee kanten snijden : de Verenigde Staten zullen ook de eigen markt moeten openen voor	goedkope	textielproducten uit derdewereldlanden , en met name de Europese Unie en Japan moeten het protectionistische	nrc_handelsblad_20011110_84
goedkoop/adj/nrc_handelsblad_20030929_64/371	afhankelijk van buitenlandse stroomvoorziening . Kostenreductie zou hebben geleid tot de keuze om 's nachts	goedkope	Franse , veelal door kerncentrales opgewekte stroom te importeren , en de eigen duurder producerende	nrc_handelsblad_20030929_64
goedkoop/adj/nrc_handelsblad_20040423_156/269	de Gouden Leeuw en daarmee steeg de prijs navenant . Nu is hij dus `	goedkoop	' in Nederland terechtgekomen . De Raad bevoordeelt buitensporig de grote distributeurs die films in	nrc_handelsblad_20040423_156
goedkoop/adj/nrc_handelsblad_19990121_38/119	de munt niet langer verdedigd hoeft te worden . Bovendien maakt de devaluatie Braziliaanse exportproducten	goedkoper	. Daardoor kan de Braziliaanse economie zich herstellen . Alles onder controle , dus ?	nrc_handelsblad_19990121_38
goedkoop/adj/nrc_handelsblad_20000921_139/239	ruim 12,5 procent goedkoper dan in België . En restaurant Koriander in Drachten is het	goedkoopste	sterrenrestaurant in de Benelux , alleen in Ukkel kun je voordeliger terecht voor de lunch	nrc_handelsblad_20000921_139
goedkoop/adj/nrc_handelsblad_19990722_89/932	telefoonnet is vaak buiten gebruik of snel overblast . Op het eerste gezicht lijken levensmiddelen	goedkoop	: een brood kost in de staatswinkels vijf dinar , in privézaken een dinar meer	nrc_handelsblad_19990722_89
goedkoop/adj/nrc_handelsblad_20000512_130/605	. Wie achter de schermen kijkt , zou bijvoorbeeld kunnen ontdekken dat de volmaaktheid op	goedkoop	illusionisme berust . Gaat het om een eenmalige voorstelling , dan is dat geen bezwaar	nrc_handelsblad_20000512_130
goedkoop/adj/nrc_handelsblad_20020802_89/333	deel van de kompels , zag in hem de held die hen zou beschermen tegen	goedkope	kolen uit de Derde Wereld en Noordzeegas . Scargill hielp de Conservatieve regering van Ted	nrc_handelsblad_20020802_89
goedkoop/adj/nrc_handelsblad_20000329_69/208	nummer 17 in de Top 100 van meest verkochte boeken staat . Zij concurreerde met	goedkope	heruitgaven van Ovidius , Plato en Suetonius . Het populair-wetenschappelijke Asterix en de wereld van	nrc_handelsblad_20000329_69
goedkoop/adj/nrc_handelsblad_20040214_23/237	toevoegen . De huizen zijn zwaar gesubsidieerd en helpen maar één keer iemand aan een	goedkope	"woning 	 . Wordt het huis daarna verkocht , dan geldt natuurlijk weer een normale"	nrc_handelsblad_20040214_23
goedkoop/adj/nrc_handelsblad_20010807_101/676	man nu aan Adriaanse de opstelling voor de wedstrijd tegen Celtic doorgeeft . Dit is	goedkoop	"scoren . 	 Want waarom zouden vorstelijk gehonoreerde voetballers per definitie als slachtoffers moeten worden"	nrc_handelsblad_20010807_101
goedkoop/adj/nrc_handelsblad_19990104_52/203	William Morris , die het groeiende fabrieksproletariaat in hun land door middel van verantwoorde èn	goedkope	toegepaste kunst wilden verbeteren . In hun gespecialiseerde werkplaatsen begonnen ook Hoffmann en Moser moderne	nrc_handelsblad_19990104_52
goedkoop/adj/nrc_handelsblad_20000531_67/192	dan de documentaire werkelijkheid , vermoedelijk omdat Craven de potentiële sentimentaliteit en het risico van	goedkoop	effectbejag doorziet . Hij brengt de papieren zakdoekjes zelfs gewoon in beeld , en maakt	nrc_handelsblad_20000531_67
goedkoop/adj/nrc_handelsblad_20020321_106/1325	de status quo , waarbij ze kunnen beschikken over een onuitputtelijk reservoir aan ongeschoolde en	goedkope	arbeidskrachten om hun land te bewerken . Maar Qureshi profileert zich als een moderne bestuurder	nrc_handelsblad_20020321_106
goedkoop/adj/nrc_handelsblad_20001013_163/107	elementen uiteen , zo vertelde Jansweijer afgelopen week op het Nationaal Pensioencongres . Pensioenfondsen zijn	goedkoper	in het vermogensbeheer : 5 procent kosten tegenover 20 à 25 procent bij verzekeraars .	nrc_handelsblad_20001013_163
goedkoop/adj/nrc_handelsblad_20030521_47/51	omhoog is gegaan . De Europese beurzen stonden vanochtend zonder uitzondering op verlies . De	goedkope	dollar , de angst voor deflatie en het uitblijven van positief bedrijfsnieuws legden een forse	nrc_handelsblad_20030521_47
goedkoop/adj/nrc_handelsblad_20031128_1028/239	blijven . Het omslagpunt ligt gemiddeld bij 30 euro : boven dat bedrag is pinnen	goedkoper	. Sinterklaas heeft dit jaar geen uitgesproken favoriet . Hypes zijn er niet . Bordspellen	nrc_handelsblad_20031128_1028
goedkoop/adj/nrc_handelsblad_20020404_15/291	in Nederland gaan in de mottenballen of worden verkocht . Inkoop in het buitenland is	goedkoper	. Binnen de kortetermijndoelstelling die men hanteert om beurswaarde op te krikken , geeft men	nrc_handelsblad_20020404_15
goedkoop/adj/nrc_handelsblad_20000722_10/132	het beste kunnen gebruiken voor het insemineren van hun koeien . Omdat het sperma vrij	goedkoop	is , zijn boeren sterk geneigd om alleen topmateriaal te kopen . Stieren die dochters	nrc_handelsblad_20000722_10
