id	left	target	right
gloeiend/adj/nrc_handelsblad_20020927_55/150	". Volgens Gisolf is dat 	 een druppel op de"	gloeiende	"plaat 	 en een 	 mer à boire 	 ,"
gloeiend/adj/nrc_handelsblad_20000608_114/76	slaap neute en lou melk is , en wakker ,	gloeiende	Augustus in 'n sonbesie-dennebos . En elke jaargety kies sy
gloeiend/adj/nrc_handelsblad_20040109_113/12	ging voorspoedig . Toen ik aan land stapte , met	gloeiende	wangetjes en weer vaste grond onder mijn voeten had ...
gloeiend/adj/nrc_handelsblad_20000522_28/251	Eschkenazy soms een beetje te bescheiden . Dan ontbrak die	gloeiende	intensiteit , waardoor uitzonderlijke solisten zich onderscheiden van hun collega's
gloeiend/adj/nrc_handelsblad_20011030_51/285	af te handelen , zal daarom een druppel op een	gloeiende	plaat blijken te zijn , zo constateert de projectgroep .
gloeiend/adj/nrc_handelsblad_19990417_111/236	"miljoen die Borst nu uittrekt 	 een druppel op de"	gloeiende	"plaat . 	 Het PI vindt dat er ook meer"
gloeiend/adj/nrc_handelsblad_20000114_112/222	de president , zijn staf en advocaten dat hij er	gloeiend	bij was als de aanklagers het proces inhoudelijk - dat
gloeiend/adj/nrc_handelsblad_20010518_35/174	wegens ziedende koppijn ? Ligt ook op hun borst een	gloeiende	knoop van slijm ? Zijn ook hun neusholtes dichtgemetseld met
gloeiend/adj/nrc_handelsblad_20000407_119/10	In de namiddag van 11 mei 1998 begon de	gloeiend	hete woestijn bij het dorpje Pokharan in de Indiase deelstaat
gloeiend/adj/nrc_handelsblad_20011110_30/892	de ascomponenten in het zandbed blijven kan het samen met	gloeiend	bedmateriaal versmelten tot grote klompen die niet langer in werveling
gloeiend/adj/nrc_handelsblad_20010730_8/249	twaalf was . Merckx hees zich naar boven op de	gloeiende	Mont Ventoux . De concurrentie spartelde diep beneden hem .
gloeiend/adj/nrc_handelsblad_20020813_59/141	spel van de gloeiende zon op de glanzende sneeuw .	Gloeiend	en glanzend zijn ook adequate termen voor de uitvoering door
gloeiend/adj/nrc_handelsblad_20011214_137/92	te volgen met een snelheidsmeter en Meneer Veilig Verkeer liep	gloeiend	tegen de lamp . Het was de apotheose van een
gloeiend/adj/nrc_handelsblad_20030809_187/14	, 4.800 man , blijft echter een druppel op een	gloeiende	plaat . Het aantal is te gering en het mandaatgebied
gloeiend/adj/nrc_handelsblad_20020608_78/32	. Dan is namelijk iedereen vrij . Verzengend zonnetje ,	gloeiend	zand , geur van factor 8 , bonkende transistor ,
gloeiend/adj/nrc_handelsblad_20010421_16/71	worden met zo'n zwart en door de altijd brandende zon	gloeiend	heet brommerzadel onder je zitvlak . Praat met een Vietnamees
gloeiend/adj/nrc_handelsblad_20000623_99/939	werkzaamheden , maar dat is maar een druppel op de	gloeiende	"plaat . 	 Waar je in Turkije ook een schop"
gloeiend/adj/nrc_handelsblad_20020706_196/195	Want overal zijn rivalen , ook al toegerust met zo'n	gloeiende	borst
gloeiend/adj/nrc_handelsblad_20020812_34/2351	dat uw werk niet meer dan een druppel op een	gloeiende	"plaat is nooit aan uw motivatie ? 	 Doemdenken helpt"
gloeiend/adj/nrc_handelsblad_19990120_8/990	een hoge hoed ' gaf uitleg over radbraken , de	gloeiende	ijzers . Er moet ook een guillotine gestaan hebben .
gloeiend/adj/nrc_handelsblad_20011126_71/149	ook op het hectische keukenleven met zijn puntige grillijzers ,	gloeiende	bakplaten en scherpe messen . Ondanks de gevaren is de
gloeiend/adj/nrc_handelsblad_20000731_78/232	de deur open en Pietje wordt in één zucht de	gloeiende	kachel ingezogen . Tante terug . Waar is Pietje ?
gloeiend/adj/nrc_handelsblad_20010210_38/455	tijd wilde zich altijd en onmiddellijk omzetten in bonte en	gloeiende	verbeelding . De geest meende het wonder begrepen te hebben
gloeiend/adj/nrc_handelsblad_19990702_36/372	een andere emotionele vervulling tegenover moeten staan : het warm	gloeiend	vuur van de soldaten-kameraadschap , de glorieuze opofferingsgezindheid van diegenen
gloeiend/adj/nrc_handelsblad_20020517_13/935	Volgens rechter Semapo Peete is het een druppel op de	gloeiende	plaat vergeleken met wat er in Lesotho gebeurt . Peete
gloeiend/adj/nrc_handelsblad_20040306_113/94	weer in het nieuws en meteen staat de telefoon rood	gloeiend	: Hoe staat het met de watertest ? Vier jaar
gloeiend/adj/nrc_handelsblad_19991203_108/503	afgelopen maanden . Dit blijft echter een druppel op een	gloeiende	plaat , want critici stellen dat meer dan 90 procent
gloeiend/adj/nrc_handelsblad_20010111_38/85	uit een metalen kern met daar omheen een oceaan van	gloeiend	heet magma . Dat werd verhit door inslagen vanuit de
gloeiend/adj/nrc_handelsblad_20020208_144/738	, een heuse liefdesverklaring aan het smeltende ijzer , de	gloeiende	ovens en de zware fysieke arbeid . Poldi was voor
gloeiend/adj/nrc_handelsblad_20020220_85/262	spuwt een van de ovens een 15 meter lange ,	gloeiende	plak staal uit , die de hal en het stuurhuis
gloeiend/adj/nrc_handelsblad_20030429_81/184	uit in een klagelijk gezang , terwijl hij naar de	gloeiende	, massief aandoende koepel staart die we hemel noemen .
gloeiend/adj/nrc_handelsblad_20020727_128/429	na een toespraak van Émile Ratelband , hadden geprobeerd over	gloeiende	kolen te lopen . In de jaren negentig is het
gloeiend/adj/nrc_handelsblad_20020430_22/296	Palestijnen . Dan moet het stoppen met druppels op de	gloeiende	plaat te gooien en achter loze woorden van Arafat ,
gloeiend/adj/nrc_handelsblad_20001005_67/996	en van zijn koffie nipte , doet denken aan een	gloeiend	stuk lava op een fruitschaal . Nu ja - het
gloeiend/adj/nrc_handelsblad_20010707_42/602	het kan een openbaring zijn om dat kort boven de	gloeiende	kooltjes te houden . Strooi niet van tevoren zout op
gloeiend/adj/nrc_handelsblad_20020323_1/220	". 	 De Waalse vissers , die bekend staan een"	gloeiende	hekel te hebben aan het kanogeweld , zijn opgetogen .
gloeiend/adj/nrc_handelsblad_20030711_52/215	de Amerikaanse staat Californië zijn twee kleine kinderen in een	gloeiend	hete auto om het leven gekomen . Hun pleegmoeder was
gloeiend/adj/nrc_handelsblad_20020809_144/870	lichtjes van Pernis zien ze al aan voor de honderden	gloeiende	kegels van evenzovele , levensgrote joints . Nederland is één
gloeiend/adj/nrc_handelsblad_20010714_49/382	hij zijn hand in het badwater . Het water was	gloeiend	heet , zeker 50 graden celsius . Hij schrok ,
gloeiend/adj/nrc_handelsblad_20001005_143/25	in een dunne , lange pijp blazen . Uit de	gloeiende	kleurige glasbel aan de andere kant ontstaan dan vaak de
gloeiend/adj/nrc_handelsblad_20011122_49/150	de Raket naar de Eeuwigheid tot ontbranding brengen , het	Gloeiende	Heilige Vocht uitstoten , Fors Raketten , de rit ,
gloeiend/adj/nrc_handelsblad_20000129_65/619	op alle terrein de baas . Adri had daar een	gloeiende	hekel aan . Hij weigerde mij nog langer advies te
gloeiend/adj/nrc_handelsblad_20020306_115/97	mensen wijs te maken dat ze door een greppel met	gloeiende	kolen kunnen lopen . Maar Ratelband is een voltreffer .
gloeiend/adj/nrc_handelsblad_20010517_130/718	hectare grote bedrijfsterrein , langs wagons vol vloeibaar ijzer en	gloeiende	cokes . Peter Zorge , bedrijfsleider van de Corus Excursietrein
