id	left	target	right	file
hoop/noun/nrc_handelsblad_19991009_120/2056	brede kringen werd onderkend , maar de communicatie naar het grote publiek laat vooralsnog een	hoop	te wensen over .	nrc_handelsblad_19991009_120
hoop/noun/nrc_handelsblad_20021005_224/14	"	 De heer Rosenmöller stelde de vragen donderdagmiddag , toen er nog een"	hoop	rumoer was	nrc_handelsblad_20021005_224
hoop/noun/nrc_handelsblad_20000225_23/43	haar echtgenoot wiens mening wordt gevraagd over de weer opgelaaide zaak Fassbinder/Jules Croiset . Die	hoop	op overwaaien is tevergeefs . Na twaalf jaar blijkt de kwestie nog steeds niet te	nrc_handelsblad_20000225_23
hoop/noun/nrc_handelsblad_20020417_53/337	hij zoveel recepten voor kalmeringspillen voorgeschreven als de afgelopen weken . Hoe de Israëliërs tussen	hoop	en wanhoop heen en weer worden geslingerd bleek gisteren uit een opiniepeiling in de krant	nrc_handelsblad_20020417_53
hoop/noun/nrc_handelsblad_20011116_16/599	in de rug geven ? Of aansluiten bij Van Dantzig of Crul , in de	hoop	dat zo de meldingsbereidheid op peil blijft ? Persoonlijk zou ik zeggen : stoppen met	nrc_handelsblad_20011116_16
hoop/noun/nrc_handelsblad_19991007_83/788	concurrentie zich bevindt . Van Iperen zal eerder de glazen bol moeten hanteren in de	hoop	dat de technologische vernieuwingen die bij het concern in de pijplijn zitten snel verkoopbare producten	nrc_handelsblad_19991007_83
hoop/noun/nrc_handelsblad_20001109_60/145	de natuurlijke variatie van het klimaat - zónder de invloed van de mens . De	hoop	is daarbij gevestigd op paleoklimatologisch onderzoek , dat natuurlijke bronnen leest als sporen van het	nrc_handelsblad_20001109_60
hoop/noun/nrc_handelsblad_20000926_83/102	luidde de strekking van het verhaal . De Haan zou de verwende miljonairs nog een	hoop	kunnen leren . In het stadion van PSV beperkten de Red Devils zich tot een	nrc_handelsblad_20000926_83
hoop/noun/nrc_handelsblad_19990713_43/44	de economische situatie recentelijk verbeterd is , maar waarschuwde dat het te vroeg is voor	hoop	op snel herstel . De uitspraak was optimistischer dan in juni , toen een stabilisatie	nrc_handelsblad_19990713_43
hoop/noun/nrc_handelsblad_20020218_111/1767	beter antwoord te vinden op populisten als Pim Fortuyn . Die gooit moslims op één	hoop	"en Albayrak dient hem niet van repliek , is zijn kritiek . 	 Maar misschien"	nrc_handelsblad_20020218_111
